age;music;signal;run;price
5,000;0,000;1,000;60,000;1800,000
1,000;0,000;1,000;13,000;2600,000
4,000;0,000;1,000;52,000;1700,000
2,000;1,000;0,000;48,000;2000,000
4,000;0,000;1,000;40,000;1800,000
2,000;1,000;0,000;30,000;2100,000
2,000;0,000;1,000;27,000;1950,000
3,000;0,000;0,000;35,000;2300,000
5,000;1,000;1,000;130,000;1300,000
5,000;0,000;1,000;75,000;1700,000
3,000;0,000;0,000;38,000;1800,000
2,000;1,000;1,000;40,000;2200,000
5,000;1,000;1,000;85,000;1500,000
0,000;0,000;1,000;0,700;4300,000
6,000;0,000;0,000;38,000;2000,000
2,000;0,000;0,000;80,000;1800,000
6,000;1,000;0,000;103,000;1400,000
4,000;0,000;0,000;56,000;1650,000
6,000;1,000;1,000;78,000;1500,000
4,000;0,000;0,000;35,000;1950,000
1,000;0,000;1,000;17,000;2650,000
6,000;1,000;1,000;76,000;1350,000
3,000;1,000;0,000;33,000;1800,000
3,000;1,000;1,000;31,000;2200,000
3,000;1,000;1,000;75,000;2100,000
4,000;1,000;1,000;66,000;1800,000
3,000;0,000;1,000;33,000;1700,000
3,000;1,000;1,000;58,000;1900,000
4,000;1,000;1,000;50,000;2000,000
1,000;1,000;0,000;14,000;2600,000
5,000;1,000;0,000;3,000;1600,000
2,000;1,000;1,000;40,000;2200,000
7,000;1,000;0,000;50,000;900,000
5,000;1,000;0,000;51,000;1500,000
4,000;1,000;1,000;46,000;1600,000
4,000;1,000;0,000;80,000;1850,000
0,000;0,000;0,000;1,500;2600,000
9,000;1,000;1,000;65,000;1300,000
1,000;1,000;1,000;4,700;2800,000
2,000;1,000;1,000;40,000;2400,000
0,000;0,000;0,000;0,000;2750,000
8,000;0,000;0,000;87,000;1200,000
8,000;1,000;1,000;71,000;2100,000
6,000;0,000;0,000;84,000;1700,000
9,000;1,000;1,000;87,000;1500,000
7,000;0,000;0,000;71,000;1500,000
5,000;1,000;1,000;50,000;2400,000
6,000;1,000;1,000;77,000;2200,000
9,000;0,000;0,000;95,000;1600,000
7,000;1,000;1,000;70,000;1900,000
4,000;1,000;1,000;44,000;2300,000
3,000;0,000;1,000;16,000;3500,000
6,000;0,000;1,000;82,000;1900,000
5,000;0,000;1,000;110,000;1700,000
1,000;0,000;0,000;15,000;3500,000
2,000;0,000;1,000;20,000;2600,000
3,000;0,000;1,000;60,000;2800,000
1,000;0,000;0,000;0,000;3500,000
5,000;0,000;1,000;18,000;3000,000
2,000;0,000;1,000;16,000;4500,000
